,epsilon,mass,n_expected
76,0.0006309573444801737,0.01,3.697485788920086e-17
77,0.0007079457843841156,0.01,5.189717043921725e-22
78,0.0007943282347242562,0.01,1.2406253239078987e-31
79,0.0008912509381337168,0.01,1.0553518559531985e-36
80,1e-07,0.020976775510204083,0.0002807062198905371
81,1.122018454301963e-07,0.020976775510204083,0.0004439199060940477
82,1.2589254117941662e-07,0.020976775510204083,0.0007051584509049034
83,1.4125375446227526e-07,0.020976775510204083,0.0011184329217870585
84,1.584893192461111e-07,0.020976775510204083,0.0017812353910370829
85,1.7782794100389192e-07,0.020976775510204083,0.0028016955844790115
86,1.9952623149688747e-07,0.020976775510204083,0.004472025596368839
87,2.2387211385683332e-07,0.020976775510204083,0.007044743276908966
88,2.5118864315095717e-07,0.020976775510204083,0.011198255922021916
89,2.8183829312644433e-07,0.020976775510204083,0.01785431664494814
90,3.1622776601683665e-07,0.020976775510204083,0.028020156841017798
91,3.548133892335739e-07,0.020976775510204083,0.04486233272245323
92,3.981071705534953e-07,0.020976775510204083,0.07098710353455157
93,4.4668359215096073e-07,0.020976775510204083,0.11248353437651586
94,5.011872336272694e-07,0.020976775510204083,0.17718442321771136
95,5.623413251903456e-07,0.020976775510204083,0.28169264419656265
96,6.309573444801892e-07,0.020976775510204083,0.4440579472074512
97,7.07945784384133e-07,0.020976775510204083,0.6910968063206371
98,7.943282347242756e-07,0.020976775510204083,1.1228811616322036
99,8.912509381337386e-07,0.020976775510204083,1.7589510429697282
100,9.99999999999992e-07,0.020976775510204083,2.795798609650589
101,1.1220184543019537e-06,0.020976775510204083,4.372260729856788
102,1.258925411794156e-06,0.020976775510204083,6.985631966098924
103,1.412537544622741e-06,0.020976775510204083,11.084831302312075
104,1.584893192461098e-06,0.020976775510204083,17.41863302834478
105,1.7782794100389047e-06,0.020976775510204083,27.562705727700173
106,1.9952623149688584e-06,0.020976775510204083,43.076968532306815
107,2.2387211385683147e-06,0.020976775510204083,68.26852664929973
108,2.5118864315095514e-06,0.020976775510204083,107.94660153901079
109,2.8183829312644204e-06,0.020976775510204083,169.1036101981095
110,3.1622776601683407e-06,0.020976775510204083,263.3050632208792
111,3.5481338923357097e-06,0.020976775510204083,411.8459962495789
112,3.98107170553492e-06,0.020976775510204083,636.4687765187118
113,4.466835921509571e-06,0.020976775510204083,993.9047959342331
114,5.011872336272653e-06,0.020976775510204083,1520.1371254209405
115,5.62341325190341e-06,0.020976775510204083,2315.461515573975
116,6.30957344480184e-06,0.020976775510204083,3511.9613676965905
117,7.079457843841272e-06,0.020976775510204083,5209.11454702079
118,7.943282347242691e-06,0.020976775510204083,7705.234007022643
119,8.912509381337314e-06,0.020976775510204083,10968.772403170567
120,9.999999999999836e-06,0.020976775510204083,15337.564062443213
121,1.1220184543019445e-05,0.020976775510204083,21043.891813030998
122,1.2589254117941456e-05,0.020976775510204083,27620.628242888422
123,1.4125375446227294e-05,0.020976775510204083,34843.31652152735
124,1.584893192461085e-05,0.020976775510204083,42093.84207163329
125,1.77827941003889e-05,0.020976775510204083,47222.70799133626
126,1.995262314968842e-05,0.020976775510204083,49917.253738362044
127,2.2387211385682966e-05,0.020976775510204083,49048.539498687365
128,2.5118864315095307e-05,0.020976775510204083,44541.17569888544
129,2.8183829312643973e-05,0.020976775510204083,36970.16700843444
130,3.1622776601683145e-05,0.020976775510204083,29229.84153314209
131,3.548133892335681e-05,0.020976775510204083,21026.055210873357
132,3.981071705534888e-05,0.020976775510204083,14141.68190551683
133,4.4668359215095345e-05,0.020976775510204083,8769.541953604865
134,5.011872336272612e-05,0.020976775510204083,5011.924802972865
135,5.623413251903364e-05,0.020976775510204083,2492.008161900406
136,6.309573444801788e-05,0.020976775510204083,1174.3298102896724
137,7.079457843841215e-05,0.020976775510204083,489.5107081176657
138,7.943282347242627e-05,0.020976775510204083,164.0365430313747
139,8.91250938133724e-05,0.020976775510204083,78.19407768351722
140,9.999999999999755e-05,0.020976775510204083,17.730514721719622
141,0.00011220184543019355,0.020976775510204083,3.7066633272248244
142,0.00012589254117941352,0.020976775510204083,0.4946231684115458
143,0.0001412537544622718,0.020976775510204083,0.02086656083782075
144,0.0001584893192461072,0.020976775510204083,0.005447473762264475
145,0.00017782794100388755,0.020976775510204083,0.00017277232778837033
146,0.00019952623149688256,0.020976775510204083,5.003953293105564e-07
147,0.00022387211385682782,0.020976775510204083,1.4155129916753054e-08
148,0.000251188643150951,0.020976775510204083,1.8499172034941032e-13
149,0.0002818382931264374,0.020976775510204083,6.190751493493262e-16
150,0.0003162277660168289,0.020976775510204083,2.447248584690329e-21
151,0.00035481338923356513,0.020976775510204083,4.8639401888281416e-27
152,0.00039810717055348553,0.020976775510204083,1.3416414574361087e-39
153,0.00044668359215094977,0.020976775510204083,1.2503140348444022e-43
154,0.0005011872336272571,0.020976775510204083,1.01665269659251e-60
155,0.0005623413251903319,0.020976775510204083,8.907229658255032e-66
156,0.0006309573444801737,0.020976775510204083,4.922706484960769e-96
157,0.0007079457843841156,0.020976775510204083,3.767421054821572e-120
158,0.0007943282347242562,0.020976775510204083,7.256102873700018e-151
159,0.0008912509381337168,0.020976775510204083,8.623024435892375e-176
160,1e-07,0.031953551020408165,0.0006727708901215782
161,1.122018454301963e-07,0.031953551020408165,0.001068632091552325
162,1.2589254117941662e-07,0.031953551020408165,0.0017046829663253111
163,1.4125375446227526e-07,0.031953551020408165,0.002672935462496587
164,1.584893192461111e-07,0.031953551020408165,0.004235244977049612
165,1.7782794100389192e-07,0.031953551020408165,0.006724879009274617
166,1.9952623149688747e-07,0.031953551020408165,0.010728438745806068
167,2.2387211385683332e-07,0.031953551020408165,0.01684196175118977
168,2.5118864315095717e-07,0.031953551020408165,0.026866816973968994
169,2.8183829312644433e-07,0.031953551020408165,0.04266021576132859
170,3.1622776601683665e-07,0.031953551020408165,0.06717805225247152
171,3.548133892335739e-07,0.031953551020408165,0.10618148463092059
172,3.981071705534953e-07,0.031953551020408165,0.17171602204656602
173,4.4668359215096073e-07,0.031953551020408165,0.26706501233180596
174,5.011872336272694e-07,0.031953551020408165,0.42541230868351326
175,5.623413251903456e-07,0.031953551020408165,0.6706622572129489
176,6.309573444801892e-07,0.031953551020408165,1.0702110356405043
177,7.07945784384133e-07,0.031953551020408165,1.6807636933388974
178,7.943282347242756e-07,0.031953551020408165,2.673154697281531
179,8.912509381337386e-07,0.031953551020408165,4.2259092763569095
180,9.99999999999992e-07,0.031953551020408165,6.66298731042105
181,1.1220184543019537e-06,0.031953551020408165,10.469774605860806
182,1.258925411794156e-06,0.031953551020408165,16.568331748487044
183,1.412537544622741e-06,0.031953551020408165,25.956618669324172
184,1.584893192461098e-06,0.031953551020408165,41.17868479555937
185,1.7782794100389047e-06,0.031953551020408165,64.93280947800362
186,1.9952623149688584e-06,0.031953551020408165,100.47757893525389
187,2.2387211385683147e-06,0.031953551020408165,158.16352805562514
188,2.5118864315095514e-06,0.031953551020408165,246.93099696231025
189,2.8183829312644204e-06,0.031953551020408165,378.27948620714676
190,3.1622776601683407e-06,0.031953551020408165,585.2729944820638
191,3.5481338923357097e-06,0.031953551020408165,890.2544409552012
192,3.98107170553492e-06,0.031953551020408165,1353.5085306369685
193,4.466835921509571e-06,0.031953551020408165,2026.7313159367313
194,5.011872336272653e-06,0.031953551020408165,2986.2323845115843
195,5.62341325190341e-06,0.031953551020408165,4338.910387612386
196,6.30957344480184e-06,0.031953551020408165,6166.271650906017
197,7.079457843841272e-06,0.031953551020408165,8477.905689137624
198,7.943282347242691e-06,0.031953551020408165,11220.972010943575
199,8.912509381337314e-06,0.031953551020408165,14487.522685623228
200,9.999999999999836e-06,0.031953551020408165,17639.622102951947
201,1.1220184543019445e-05,0.031953551020408165,20476.33880603443
202,1.2589254117941456e-05,0.031953551020408165,21978.90878017211
203,1.4125375446227294e-05,0.031953551020408165,22198.853677632138
204,1.584893192461085e-05,0.031953551020408165,20759.515127021048
205,1.77827941003889e-05,0.031953551020408165,17803.771642358286
206,1.995262314968842e-05,0.031953551020408165,14199.406221355726
207,2.2387211385682966e-05,0.031953551020408165,10414.781564028506
208,2.5118864315095307e-05,0.031953551020408165,7168.420073770026
209,2.8183829312643973e-05,0.031953551020408165,4622.238418265556
210,3.1622776601683145e-05,0.031953551020408165,2690.644216375719
211,3.548133892335681e-05,0.031953551020408165,1423.347939044336
212,3.981071705534888e-05,0.031953551020408165,732.3497949589558
213,4.4668359215095345e-05,0.031953551020408165,300.14334872378373
214,5.011872336272612e-05,0.031953551020408165,128.12930181567395
215,5.623413251903364e-05,0.031953551020408165,40.268414768231764
216,6.309573444801788e-05,0.031953551020408165,14.1445267471151
217,7.079457843841215e-05,0.031953551020408165,2.587636740929231
218,7.943282347242627e-05,0.031953551020408165,0.38441349676468606
219,8.91250938133724e-05,0.031953551020408165,0.06745335197934599
220,9.999999999999755e-05,0.031953551020408165,0.0042912219831432
221,0.00011220184543019355,0.031953551020408165,4.958993859716402e-05
222,0.00012589254117941352,0.031953551020408165,2.3928096415735594e-06
223,0.0001412537544622718,0.031953551020408165,5.7172296740973044e-09
224,0.0001584893192461072,0.031953551020408165,1.9936078911836384e-10
225,0.00017782794100388755,0.031953551020408165,3.28395285547247e-12
226,0.00019952623149688256,0.031953551020408165,5.267071280963596e-19
227,0.00022387211385682782,0.031953551020408165,2.706540483403654e-24
228,0.000251188643150951,0.031953551020408165,1.0956656368440757e-34
229,0.0002818382931264374,0.031953551020408165,4.308544384185032e-44
230,0.0003162277660168289,0.031953551020408165,7.591145600950303e-60
231,0.00035481338923356513,0.031953551020408165,1.2062747745608198e-66
232,0.00039810717055348553,0.031953551020408165,8.396528148909664e-81
233,0.00044668359215094977,0.031953551020408165,8.069286384841136e-97
234,0.0005011872336272571,0.031953551020408165,4.421298503678672e-132
235,0.0005623413251903319,0.031953551020408165,4.177280844501742e-163
236,0.0006309573444801737,0.031953551020408165,1.688077157105141e-252
237,0.0007079457843841156,0.031953551020408165,2.743226307725083e-286
238,0.0007943282347242562,0.031953551020408165,0.0
239,0.0008912509381337168,0.031953551020408165,0.0
240,1e-07,0.042930326530612246,0.0012785070466743834
241,1.122018454301963e-07,0.042930326530612246,0.002033344837261177
242,1.2589254117941662e-07,0.042930326530612246,0.003213229141409038
243,1.4125375446227526e-07,0.042930326530612246,0.0050901139221577255
244,1.584893192461111e-07,0.042930326530612246,0.008081639372436415
245,1.7782794100389192e-07,0.042930326530612246,0.01276027144566523
246,1.9952623149688747e-07,0.042930326530612246,0.020386350383155716
247,2.2387211385683332e-07,0.042930326530612246,0.03207950167327024
248,2.5118864315095717e-07,0.042930326530612246,0.051103908109554445
249,2.8183829312644433e-07,0.042930326530612246,0.08097440480476013
250,3.1622776601683665e-07,0.042930326530612246,0.12805629563627874
251,3.548133892335739e-07,0.042930326530612246,0.20232639784196566
252,3.981071705534953e-07,0.042930326530612246,0.320185943552104
253,4.4668359215096073e-07,0.042930326530612246,0.5076154907304686
254,5.011872336272694e-07,0.042930326530612246,0.8033888577985621
255,5.623413251903456e-07,0.042930326530612246,1.2709710577980426
256,6.309573444801892e-07,0.042930326530612246,2.0168409554961952
257,7.07945784384133e-07,0.042930326530612246,3.1782047716579087
258,7.943282347242756e-07,0.042930326530612246,5.01706490685877
259,8.912509381337386e-07,0.042930326530612246,7.993664252419337
260,9.99999999999992e-07,0.042930326530612246,12.52277372592633
261,1.1220184543019537e-06,0.042930326530612246,19.71222458229036
262,1.258925411794156e-06,0.042930326530612246,30.73216577397044
263,1.412537544622741e-06,0.042930326530612246,48.090081485528806
264,1.584893192461098e-06,0.042930326530612246,75.90007269637233
265,1.7782794100389047e-06,0.042930326530612246,118.82361191641554
266,1.9952623149688584e-06,0.042930326530612246,183.56355540718175
267,2.2387211385683147e-06,0.042930326530612246,281.49404195641523
268,2.5118864315095514e-06,0.042930326530612246,430.03353388919453
269,2.8183829312644204e-06,0.042930326530612246,661.6284088297596
270,3.1622776601683407e-06,0.042930326530612246,988.4086658365576
271,3.5481338923357097e-06,0.042930326530612246,1472.1084832255597
272,3.98107170553492e-06,0.042930326530612246,2160.6934407783724
273,4.466835921509571e-06,0.042930326530612246,3080.3600108577007
274,5.011872336272653e-06,0.042930326530612246,4309.401165488511
275,5.62341325190341e-06,0.042930326530612246,5813.994560887352
276,6.30957344480184e-06,0.042930326530612246,7582.95351058281
277,7.079457843841272e-06,0.042930326530612246,9504.626295892625
278,7.943282347242691e-06,0.042930326530612246,11252.268075978121
279,8.912509381337314e-06,0.042930326530612246,12407.93096185915
280,9.999999999999836e-06,0.042930326530612246,12985.859347207526
281,1.1220184543019445e-05,0.042930326530612246,12490.246276673319
282,1.2589254117941456e-05,0.042930326530612246,11203.606263589387
283,1.4125375446227294e-05,0.042930326530612246,9188.567083741005
284,1.584893192461085e-05,0.042930326530612246,7026.175293995691
285,1.77827941003889e-05,0.042930326530612246,4975.599065312956
286,1.995262314968842e-05,0.042930326530612246,3258.4576868270524
287,2.2387211385682966e-05,0.042930326530612246,1984.5302191720398
288,2.5118864315095307e-05,0.042930326530612246,1129.9236133992438
289,2.8183829312643973e-05,0.042930326530612246,614.8317269490086
