# FONLL heavy quark hadroproduction cross section
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# beauty to B to J_Psi meson
# BR(q->meson) = 0.7
# BR(B->J/psi) = 0.0116
# theta_min, theta_max, p_min[GeV], p_max[GeV], xsec[pb]
1.312e-02,1.193e-02,5.718e+02,6.704e+02,6.096e+02
1.183e-02,1.076e-02,6.341e+02,7.434e+02,5.168e+02
1.067e-02,9.703e-03,7.032e+02,8.245e+02,4.336e+02
9.617e-03,8.750e-03,7.798e+02,9.143e+02,3.597e+02
8.672e-03,7.890e-03,8.649e+02,1.014e+03,2.949e+02
7.820e-03,7.115e-03,9.591e+02,1.124e+03,2.387e+02
7.051e-03,6.415e-03,1.064e+03,1.247e+03,1.903e+02
6.358e-03,5.785e-03,1.180e+03,1.383e+03,1.493e+02
5.733e-03,5.216e-03,1.308e+03,1.534e+03,1.151e+02
5.170e-03,4.704e-03,1.451e+03,1.701e+03,8.688e+01
4.662e-03,4.241e-03,1.609e+03,1.886e+03,6.394e+01
4.204e-03,3.825e-03,1.784e+03,2.092e+03,4.546e+01
3.790e-03,3.449e-03,1.979e+03,2.320e+03,3.100e+01
3.418e-03,3.110e-03,2.194e+03,2.572e+03,2.026e+01
3.082e-03,2.804e-03,2.433e+03,2.853e+03,1.237e+01
2.779e-03,2.529e-03,2.699e+03,3.164e+03,6.477e+00
2.506e-03,2.280e-03,2.993e+03,3.509e+03,2.727e+00
2.260e-03,2.056e-03,3.319e+03,3.891e+03,9.923e-01
2.038e-03,1.854e-03,3.681e+03,4.315e+03,3.548e-01
1.837e-03,1.672e-03,4.082e+03,4.785e+03,1.065e-01
1.657e-03,1.507e-03,4.527e+03,5.307e+03,1.924e-02
1.494e-03,1.359e-03,5.020e+03,5.885e+03,5.946e-04
1.323e-02,1.202e-02,6.045e+02,7.070e+02,4.635e+02
1.193e-02,1.084e-02,6.704e+02,7.840e+02,3.906e+02
1.076e-02,9.776e-03,7.435e+02,8.695e+02,3.255e+02
9.703e-03,8.816e-03,8.245e+02,9.642e+02,2.681e+02
8.749e-03,7.949e-03,9.144e+02,1.069e+03,2.181e+02
7.890e-03,7.168e-03,1.014e+03,1.186e+03,1.751e+02
7.114e-03,6.464e-03,1.125e+03,1.315e+03,1.383e+02
6.415e-03,5.829e-03,1.247e+03,1.458e+03,1.073e+02
5.785e-03,5.256e-03,1.383e+03,1.617e+03,8.161e+01
5.216e-03,4.739e-03,1.534e+03,1.794e+03,6.073e+01
4.703e-03,4.273e-03,1.701e+03,1.989e+03,4.395e+01
4.241e-03,3.853e-03,1.886e+03,2.206e+03,3.054e+01
3.824e-03,3.475e-03,2.092e+03,2.446e+03,2.023e+01
3.449e-03,3.133e-03,2.320e+03,2.713e+03,1.277e+01
3.110e-03,2.825e-03,2.573e+03,3.009e+03,7.442e+00
2.804e-03,2.548e-03,2.853e+03,3.336e+03,3.558e+00
2.528e-03,2.297e-03,3.164e+03,3.700e+03,1.222e+00
2.280e-03,2.072e-03,3.509e+03,4.103e+03,3.545e-01
2.056e-03,1.868e-03,3.891e+03,4.551e+03,1.085e-01
1.854e-03,1.684e-03,4.315e+03,5.046e+03,2.697e-02
1.672e-03,1.519e-03,4.786e+03,5.597e+03,3.717e-03
1.507e-03,1.370e-03,5.307e+03,6.206e+03,5.527e-05
1.333e-02,1.210e-02,6.375e+02,7.438e+02,3.549e+02
1.202e-02,1.091e-02,7.070e+02,8.248e+02,2.973e+02
1.084e-02,9.839e-03,7.840e+02,9.147e+02,2.461e+02
9.776e-03,8.872e-03,8.695e+02,1.014e+03,2.013e+02
8.815e-03,8.000e-03,9.643e+02,1.125e+03,1.625e+02
7.949e-03,7.214e-03,1.069e+03,1.248e+03,1.293e+02
7.168e-03,6.505e-03,1.186e+03,1.384e+03,1.011e+02
6.464e-03,5.866e-03,1.315e+03,1.534e+03,7.751e+01
5.828e-03,5.289e-03,1.458e+03,1.702e+03,5.818e+01
5.256e-03,4.770e-03,1.617e+03,1.887e+03,4.268e+01
4.739e-03,4.301e-03,1.794e+03,2.093e+03,3.033e+01
4.273e-03,3.878e-03,1.989e+03,2.321e+03,2.056e+01
3.853e-03,3.497e-03,2.206e+03,2.574e+03,1.319e+01
3.475e-03,3.153e-03,2.446e+03,2.854e+03,7.999e+00
3.133e-03,2.843e-03,2.713e+03,3.165e+03,4.451e+00
2.825e-03,2.564e-03,3.009e+03,3.510e+03,1.904e+00
2.547e-03,2.312e-03,3.337e+03,3.893e+03,4.770e-01
2.297e-03,2.085e-03,3.700e+03,4.317e+03,9.898e-02
2.071e-03,1.880e-03,4.104e+03,4.788e+03,2.512e-02
1.868e-03,1.695e-03,4.551e+03,5.309e+03,4.999e-03
1.684e-03,1.528e-03,5.047e+03,5.888e+03,4.940e-04
1.342e-02,1.217e-02,6.707e+02,7.808e+02,2.736e+02
1.210e-02,1.097e-02,7.438e+02,8.659e+02,2.278e+02
1.091e-02,9.893e-03,8.249e+02,9.603e+02,1.874e+02
9.839e-03,8.921e-03,9.147e+02,1.065e+03,1.521e+02
8.872e-03,8.044e-03,1.014e+03,1.181e+03,1.218e+02
8.000e-03,7.254e-03,1.125e+03,1.310e+03,9.606e+01
7.213e-03,6.540e-03,1.248e+03,1.453e+03,7.434e+01
6.505e-03,5.898e-03,1.384e+03,1.611e+03,5.632e+01
5.865e-03,5.318e-03,1.534e+03,1.786e+03,4.170e+01
5.289e-03,4.796e-03,1.702e+03,1.981e+03,3.012e+01
4.769e-03,4.324e-03,1.887e+03,2.197e+03,2.098e+01
4.301e-03,3.899e-03,2.093e+03,2.436e+03,1.385e+01
3.878e-03,3.516e-03,2.321e+03,2.702e+03,8.575e+00
3.497e-03,3.171e-03,2.574e+03,2.996e+03,4.985e+00
3.153e-03,2.859e-03,2.854e+03,3.323e+03,2.642e+00
2.843e-03,2.578e-03,3.165e+03,3.685e+03,9.947e-01
2.564e-03,2.325e-03,3.511e+03,4.087e+03,1.527e-01
2.312e-03,2.096e-03,3.893e+03,4.532e+03,1.747e-02
2.085e-03,1.890e-03,4.317e+03,5.026e+03,3.497e-03
1.880e-03,1.704e-03,4.788e+03,5.574e+03,5.367e-04
1.695e-03,1.537e-03,5.310e+03,6.182e+03,3.508e-05
1.349e-02,1.222e-02,7.041e+02,8.181e+02,2.123e+02
1.217e-02,1.102e-02,7.808e+02,9.072e+02,1.757e+02
1.097e-02,9.939e-03,8.660e+02,1.006e+03,1.436e+02
9.893e-03,8.963e-03,9.603e+02,1.116e+03,1.157e+02
8.920e-03,8.082e-03,1.065e+03,1.237e+03,9.192e+01
8.044e-03,7.288e-03,1.181e+03,1.372e+03,7.179e+01
7.253e-03,6.571e-03,1.310e+03,1.522e+03,5.498e+01
6.540e-03,5.926e-03,1.453e+03,1.688e+03,4.114e+01
5.897e-03,5.343e-03,1.611e+03,1.872e+03,3.002e+01
5.318e-03,4.818e-03,1.786e+03,2.075e+03,2.132e+01
4.795e-03,4.344e-03,1.981e+03,2.302e+03,1.455e+01
4.324e-03,3.918e-03,2.197e+03,2.553e+03,9.314e+00
3.899e-03,3.533e-03,2.437e+03,2.831e+03,5.560e+00
3.516e-03,3.186e-03,2.702e+03,3.139e+03,3.084e+00
3.170e-03,2.872e-03,2.997e+03,3.482e+03,1.553e+00
2.859e-03,2.590e-03,3.323e+03,3.861e+03,5.139e-01
2.578e-03,2.335e-03,3.685e+03,4.282e+03,4.163e-02
2.325e-03,2.106e-03,4.087e+03,4.748e+03,1.171e-03
2.096e-03,1.899e-03,4.533e+03,5.266e+03,1.556e-04
1.890e-03,1.712e-03,5.026e+03,5.840e+03,1.718e-05
1.704e-03,1.544e-03,5.574e+03,6.476e+03,6.565e-07
