# FONLL heavy quark hadroproduction cross section
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# beauty to B to J_Psi meson
# BR(q->meson) = 0.7
# BR(B->J/psi) = 0.0116
# theta_min, theta_max, p_min[GeV], p_max[GeV], xsec[pb]
3.788e-04,4.251e-04,3.960e+03,4.705e+03,4.498e+00
3.416e-04,3.833e-04,4.392e+03,5.217e+03,9.289e-01
3.080e-04,3.456e-04,4.870e+03,5.786e+03,4.124e-02
7.699e-03,8.038e-03,2.598e+02,3.110e+02,1.372e+04
6.943e-03,7.249e-03,2.881e+02,3.449e+02,1.246e+04
6.260e-03,6.536e-03,3.195e+02,3.825e+02,1.123e+04
5.645e-03,5.894e-03,3.543e+02,4.242e+02,1.006e+04
5.090e-03,5.314e-03,3.929e+02,4.704e+02,8.956e+03
4.590e-03,4.792e-03,4.357e+02,5.217e+02,7.911e+03
4.139e-03,4.321e-03,4.833e+02,5.786e+02,6.937e+03
3.732e-03,3.897e-03,5.359e+02,6.416e+02,6.034e+03
3.365e-03,3.513e-03,5.943e+02,7.115e+02,5.203e+03
3.035e-03,3.168e-03,6.591e+02,7.891e+02,4.446e+03
2.736e-03,2.857e-03,7.310e+02,8.751e+02,3.764e+03
2.467e-03,2.576e-03,8.106e+02,9.704e+02,3.154e+03
2.225e-03,2.323e-03,8.990e+02,1.076e+03,2.613e+03
2.006e-03,2.095e-03,9.969e+02,1.194e+03,2.140e+03
1.809e-03,1.889e-03,1.106e+03,1.324e+03,1.730e+03
1.631e-03,1.703e-03,1.226e+03,1.468e+03,1.377e+03
1.471e-03,1.536e-03,1.360e+03,1.628e+03,1.079e+03
1.326e-03,1.385e-03,1.508e+03,1.805e+03,8.290e+02
1.196e-03,1.249e-03,1.672e+03,2.002e+03,6.206e+02
1.078e-03,1.126e-03,1.854e+03,2.220e+03,4.494e+02
9.724e-04,1.015e-03,2.057e+03,2.462e+03,3.112e+02
8.769e-04,9.156e-04,2.281e+03,2.731e+03,2.037e+02
7.907e-04,8.256e-04,2.529e+03,3.028e+03,1.245e+02
7.130e-04,7.445e-04,2.805e+03,3.358e+03,7.026e+01
6.429e-04,6.713e-04,3.111e+03,3.724e+03,3.604e+01
5.798e-04,6.053e-04,3.450e+03,4.130e+03,1.628e+01
5.228e-04,5.458e-04,3.826e+03,4.580e+03,6.131e+00
4.714e-04,4.922e-04,4.243e+03,5.079e+03,1.691e+00
4.251e-04,4.438e-04,4.705e+03,5.633e+03,2.246e-01
3.833e-04,4.002e-04,5.218e+03,6.247e+03,3.358e-03
8.914e-03,8.904e-03,2.805e+02,3.369e+02,1.124e+04
8.038e-03,8.029e-03,3.110e+02,3.736e+02,1.014e+04
7.248e-03,7.240e-03,3.449e+02,4.144e+02,9.094e+03
6.536e-03,6.529e-03,3.825e+02,4.595e+02,8.097e+03
5.893e-03,5.887e-03,4.242e+02,5.096e+02,7.159e+03
5.314e-03,5.308e-03,4.704e+02,5.651e+02,6.282e+03
4.792e-03,4.786e-03,5.217e+02,6.268e+02,5.469e+03
4.321e-03,4.316e-03,5.786e+02,6.951e+02,4.720e+03
3.896e-03,3.892e-03,6.417e+02,7.708e+02,4.038e+03
3.513e-03,3.510e-03,7.115e+02,8.548e+02,3.422e+03
3.168e-03,3.164e-03,7.891e+02,9.480e+02,2.870e+03
2.857e-03,2.854e-03,8.751e+02,1.051e+03,2.382e+03
2.576e-03,2.573e-03,9.705e+02,1.166e+03,1.953e+03
2.323e-03,2.320e-03,1.076e+03,1.293e+03,1.581e+03
2.094e-03,2.092e-03,1.194e+03,1.434e+03,1.261e+03
1.889e-03,1.887e-03,1.324e+03,1.590e+03,9.898e+02
1.703e-03,1.701e-03,1.468e+03,1.764e+03,7.619e+02
1.536e-03,1.534e-03,1.628e+03,1.956e+03,5.731e+02
1.385e-03,1.383e-03,1.805e+03,2.169e+03,4.183e+02
1.249e-03,1.247e-03,2.002e+03,2.405e+03,2.931e+02
1.126e-03,1.125e-03,2.220e+03,2.667e+03,1.938e+02
1.015e-03,1.014e-03,2.462e+03,2.958e+03,1.194e+02
9.155e-04,9.145e-04,2.731e+03,3.281e+03,6.779e+01
8.256e-04,8.246e-04,3.028e+03,3.638e+03,3.492e+01
7.444e-04,7.436e-04,3.358e+03,4.035e+03,1.611e+01
6.713e-04,6.705e-04,3.724e+03,4.474e+03,6.420e+00
6.053e-04,6.046e-04,4.130e+03,4.962e+03,2.031e+00
5.458e-04,5.452e-04,4.580e+03,5.503e+03,4.110e-01
4.922e-04,4.916e-04,5.079e+03,6.102e+03,2.674e-02
9.874e-03,9.584e-03,3.038e+02,3.652e+02,8.745e+03
8.904e-03,8.642e-03,3.369e+02,4.050e+02,7.842e+03
8.028e-03,7.793e-03,3.737e+02,4.491e+02,6.986e+03
7.240e-03,7.027e-03,4.144e+02,4.981e+02,6.180e+03
6.528e-03,6.336e-03,4.596e+02,5.524e+02,5.426e+03
5.887e-03,5.714e-03,5.096e+02,6.126e+02,4.726e+03
5.308e-03,5.152e-03,5.652e+02,6.794e+02,4.081e+03
4.786e-03,4.646e-03,6.268e+02,7.534e+02,3.493e+03
4.316e-03,4.189e-03,6.951e+02,8.355e+02,2.962e+03
3.892e-03,3.778e-03,7.708e+02,9.265e+02,2.486e+03
