ptmin(GeV),ptmax(GeV),y,xsec(pb)
2.5,3,7.5862,6.4197e+00
2.5,3,7.6897,2.0308e+00
2.5,3,7.7931,4.1103e-01
2.5,3,7.8965,2.6739e-02
2.5,3,8.0000,8.5260e-05
3,3.5,5.0000,8.7452e+03
3,3.5,5.1034,7.8415e+03
3,3.5,5.2069,6.9864e+03
3,3.5,5.3103,6.1801e+03
3,3.5,5.4138,5.4258e+03
3,3.5,5.5172,4.7258e+03
3,3.5,5.6207,4.0811e+03
3,3.5,5.7241,3.4932e+03
3,3.5,5.8276,2.9622e+03
3,3.5,5.9310,2.4863e+03
3,3.5,6.0345,2.0649e+03
3,3.5,6.1379,1.6946e+03
3,3.5,6.2414,1.3739e+03
3,3.5,6.3448,1.0978e+03
3,3.5,6.4483,8.6234e+02
3,3.5,6.5517,6.6495e+02
3,3.5,6.6552,5.0108e+02
3,3.5,6.7586,3.6727e+02
3,3.5,6.8621,2.5960e+02
3,3.5,6.9655,1.7425e+02
3,3.5,7.0690,1.0848e+02
3,3.5,7.1724,6.1696e+01
3,3.5,7.2759,3.1627e+01
3,3.5,7.3793,1.4178e+01
3,3.5,7.4828,5.6353e+00
3,3.5,7.5862,1.8830e+00
3,3.5,7.6897,4.6260e-01
3,3.5,7.7931,5.8204e-02
3,3.5,7.8965,1.2351e-03
3,3.5,8.0000,6.8395e-09
3.5,4,5.0000,6.5967e+03
3.5,4,5.1034,5.8797e+03
3.5,4,5.2069,5.2041e+03
3.5,4,5.3103,4.5716e+03
3.5,4,5.4138,3.9845e+03
3.5,4,5.5172,3.4429e+03
3.5,4,5.6207,2.9492e+03
3.5,4,5.7241,2.5026e+03
3.5,4,5.8276,2.1015e+03
3.5,4,5.9310,1.7466e+03
3.5,4,6.0345,1.4348e+03
3.5,4,6.1379,1.1644e+03
3.5,4,6.2414,9.3136e+02
3.5,4,6.3448,7.3332e+02
3.5,4,6.4483,5.6678e+02
3.5,4,6.5517,4.2792e+02
3.5,4,6.6552,3.1416e+02
3.5,4,6.7586,2.2306e+02
3.5,4,6.8621,1.5168e+02
3.5,4,6.9655,9.6790e+01
3.5,4,7.0690,5.6036e+01
3.5,4,7.1724,2.8647e+01
3.5,4,7.2759,1.2537e+01
3.5,4,7.3793,4.4993e+00
3.5,4,7.4828,1.4543e+00
3.5,4,7.5862,3.7937e-01
3.5,4,7.6897,6.4586e-02
3.5,4,7.7931,3.8383e-03
3.5,4,7.8965,6.0827e-06
3.5,4,8.0000,0.0000e+00
4,4.5,5.0000,4.8939e+03
4,4.5,5.1034,4.3353e+03
4,4.5,5.2069,3.8115e+03
4,4.5,5.3103,3.3243e+03
4,4.5,5.4138,2.8761e+03
4,4.5,5.5172,2.4652e+03
4,4.5,5.6207,2.0942e+03
4,4.5,5.7241,1.7604e+03
4,4.5,5.8276,1.4640e+03
4,4.5,5.9310,1.2042e+03
4,4.5,6.0345,9.7846e+02
4,4.5,6.1379,7.8358e+02
4,4.5,6.2414,6.1801e+02
4,4.5,6.3448,4.7892e+02
4,4.5,6.4483,3.6305e+02
4,4.5,6.5517,2.6755e+02
4,4.5,6.6552,1.9041e+02
4,4.5,6.7586,1.3025e+02
4,4.5,6.8621,8.4529e+01
4,4.5,6.9655,5.0815e+01
4,4.5,7.0690,2.6918e+01
4,4.5,7.1724,1.1863e+01
4,4.5,7.2759,3.9496e+00
4,4.5,7.3793,1.0020e+00
4,4.5,7.4828,2.4344e-01
4,4.5,7.5862,4.4879e-02
4,4.5,7.6897,4.3970e-03
4,4.5,7.7931,5.7027e-05
4,4.5,7.8965,0.0000e+00
4,4.5,8.0000,0.0000e+00
4.5,5,5.0000,3.6037e+03
4.5,5,5.1034,3.1717e+03
4.5,5,5.2069,2.7697e+03
4.5,5,5.3103,2.3995e+03
4.5,5,5.4138,2.0592e+03
4.5,5,5.5172,1.7515e+03
4.5,5,5.6207,1.4746e+03
4.5,5,5.7241,1.2286e+03
4.5,5,5.8276,1.0118e+03
4.5,5,5.9310,8.2256e+02
4.5,5,6.0345,6.6032e+02
4.5,5,6.1379,5.2187e+02
4.5,5,6.2414,4.0527e+02
4.5,5,6.3448,3.0848e+02
4.5,5,6.4483,2.2898e+02
4.5,5,6.5517,1.6402e+02
4.5,5,6.6552,1.1246e+02
4.5,5,6.7586,7.3551e+01
4.5,5,6.8621,4.5293e+01
4.5,5,6.9655,2.5367e+01
4.5,5,7.0690,1.1993e+01
4.5,5,7.1724,4.2224e+00
4.5,5,7.2759,8.3230e-01
4.5,5,7.3793,1.2521e-01
4.5,5,7.4828,2.0397e-02
4.5,5,7.5862,2.2825e-03
4.5,5,7.6897,7.9105e-05
4.5,5,7.7931,0.0000e+00
4.5,5,7.8965,0.0000e+00
4.5,5,8.0000,0.0000e+00
5,5.5,5.0000,2.6496e+03
5,5.5,5.1034,2.3174e+03
5,5.5,5.2069,2.0097e+03
5,5.5,5.3103,1.7288e+03
5,5.5,5.4138,1.4730e+03
5,5.5,5.5172,1.2424e+03
5,5.5,5.6207,1.0369e+03
5,5.5,5.7241,8.5585e+02
5,5.5,5.8276,6.9735e+02
5,5.5,5.9310,5.6085e+02
5,5.5,6.0345,4.4433e+02
5,5.5,6.1379,3.4607e+02
5,5.5,6.2414,2.6423e+02
5,5.5,6.3448,1.9724e+02
5,5.5,6.4483,1.4291e+02
5,5.5,6.5517,9.9064e+01
5,5.5,6.6552,6.4919e+01
5,5.5,6.7586,4.0218e+01
5,5.5,6.8621,2.3394e+01
5,5.5,6.9655,1.2115e+01
5,5.5,7.0690,4.9678e+00
5,5.5,7.1724,1.2489e+00
5,5.5,7.2759,9.3705e-02
5,5.5,7.3793,5.1992e-03
5,5.5,7.4828,4.8095e-04
5,5.5,7.5862,2.3248e-05
5,5.5,7.6897,5.5322e-10
5,5.5,7.7931,0.0000e+00
5,5.5,7.8965,0.0000e+00
5,5.5,8.0000,0.0000e+00   
5.5,6,5.0000,1.9529e+03
5.5,6,5.1034,1.6971e+03
5.5,6,5.2069,1.4624e+03
5.5,6,5.3103,1.2480e+03
5.5,6,5.4138,1.0556e+03
5.5,6,5.5172,8.8346e+02
5.5,6,5.6207,7.3064e+02
5.5,6,5.7241,5.9714e+02
5.5,6,5.8276,4.8152e+02
5.5,6,5.9310,3.8270e+02
5.5,6,6.0345,2.9922e+02
5.5,6,6.1379,2.2939e+02
5.5,6,6.2414,1.7198e+02
5.5,6,6.3448,1.2562e+02
5.5,6,6.4483,8.8589e+01
5.5,6,6.5517,5.8967e+01
5.5,6,6.6552,3.6605e+01
5.5,6,6.7586,2.1274e+01
5.5,6,6.8621,1.1587e+01
5.5,6,6.9655,5.5541e+00
5.5,6,7.0690,1.9780e+00
5.5,6,7.1724,3.5484e-01
5.5,6,7.2759,8.5504e-03
5.5,6,7.3793,1.1595e-05
5.5,6,7.4828,3.7961e-07
5.5,6,7.5862,1.5948e-10
5.5,6,7.6897,0.0000e+00
5.5,6,7.7931,0.0000e+00
5.5,6,7.8965,0.0000e+00
5.5,6,8.0000,0.0000e+00
6,6.5,5.0000,1.4454e+03
6,6.5,5.1034,1.2489e+03
6,6.5,5.2069,1.0686e+03
6,6.5,5.3103,9.0619e+02
