epsilon,mass,n_expected
0.012328467394420659,0.01,0.0
0.014174741629268049,0.01,0.0
0.016297508346206434,0.01,0.0
0.01873817422860383,0.01,0.0
0.021544346900318867,0.01,0.0
0.024770763559917138,0.01,0.0
0.028480358684358047,0.01,0.0
0.032745491628777317,0.01,0.0
0.037649358067924715,0.01,0.0
0.043287612810830614,0.01,0.0
0.049770235643321135,0.01,0.0
0.0572236765935022,0.01,0.0
0.06579332246575682,0.01,0.0
0.07564633275546291,0.01,0.0
0.08697490026177834,0.01,0.0
0.1,0.01,0.0
1e-07,0.040202020202020204,0.0004693563052632414
1.1497569953977356e-07,0.040202020202020204,0.0008201852180084242
1.3219411484660288e-07,0.040202020202020204,0.001433231692018597
1.519911082952933e-07,0.040202020202020204,0.002504462314375378
1.747528400007683e-07,0.040202020202020204,0.004376270751485775
2.009233002565046e-07,0.040202020202020204,0.0076468529723066865
2.310129700083158e-07,0.040202020202020204,0.013361234644328283
2.656087782946684e-07,0.040202020202020204,0.023344845453467957
3.0538555088334124e-07,0.040202020202020204,0.04078586912629346
3.5111917342151277e-07,0.040202020202020204,0.07125157657458484
4.037017258596558e-07,0.040202020202020204,0.12446130471899922
4.641588833612782e-07,0.040202020202020204,0.21737765459765276
5.336699231206313e-07,0.040202020202020204,0.3795920028321147
6.135907273413176e-07,0.040202020202020204,0.6626979448872926
7.054802310718645e-07,0.040202020202020204,1.1565844223083754
8.111308307896872e-07,0.040202020202020204,2.0177078293036765
9.326033468832199e-07,0.040202020202020204,3.5180377131276237
1.0722672220103232e-06,0.040202020202020204,6.129535190372926
1.232846739442066e-06,0.040202020202020204,10.669368532977112
1.4174741629268049e-06,0.040202020202020204,18.54818517938206
1.6297508346206435e-06,0.040202020202020204,32.19151063983961
1.873817422860383e-06,0.040202020202020204,55.748063649493844
2.1544346900318865e-06,0.040202020202020204,96.26475068427135
2.477076355991714e-06,0.040202020202020204,165.60108524377583
2.848035868435805e-06,0.040202020202020204,283.47183171081963
3.2745491628777315e-06,0.040202020202020204,482.1165490175051
3.764935806792471e-06,0.040202020202020204,813.1111842811046
4.328761281083061e-06,0.040202020202020204,1356.5628680605168
4.977023564332114e-06,0.040202020202020204,2232.0053755194112
5.72236765935022e-06,0.040202020202020204,3608.2511239402083
6.579332246575683e-06,0.040202020202020204,5705.976585073632
7.564633275546291e-06,0.040202020202020204,8782.825410847685
8.697490026177835e-06,0.040202020202020204,13089.976575054101
1e-05,0.040202020202020204,18798.234637803314
1.1497569953977357e-05,0.040202020202020204,25914.79470859262
1.3219411484660286e-05,0.040202020202020204,34235.17266336579
1.5199110829529332e-05,0.040202020202020204,43361.31484860243
1.747528400007683e-05,0.040202020202020204,52753.37565761563
2.0092330025650458e-05,0.040202020202020204,61748.823769749855
2.310129700083158e-05,0.040202020202020204,69559.68319270195
2.656087782946684e-05,0.040202020202020204,75329.391761438
3.053855508833412e-05,0.040202020202020204,78258.82818918835
3.511191734215127e-05,0.040202020202020204,77737.79696395242
4.03701725859655e-05,0.040202020202020204,73456.93847171377
4.641588833612782e-05,0.040202020202020204,65520.77063245753
5.3366992312063123e-05,0.040202020202020204,54565.19825837306
6.135907273413175e-05,0.040202020202020204,41814.840044485645
7.054802310718646e-05,0.040202020202020204,28948.903741784598
8.111308307896872e-05,0.040202020202020204,17690.90007408786
9.326033468832199e-05,0.040202020202020204,9253.753067004012
0.00010722672220103231,0.040202020202020204,3965.9200750010314
0.0001232846739442066,0.040202020202020204,1307.0235565370583
0.00014174741629268049,0.040202020202020204,303.00738717418227
0.0001629750834620645,0.040202020202020204,43.83525099332129
0.0001873817422860385,0.040202020202020204,3.382659889877874
0.00021544346900318845,0.040202020202020204,0.11359730938642632
0.0002477076355991711,0.040202020202020204,0.0012744778276546555
0.0002848035868435802,0.040202020202020204,3.3793077966329194e-06
0.00032745491628777284,0.040202020202020204,1.3402292399589985e-09
0.00037649358067924675,0.040202020202020204,4.3288910434482175e-14
0.00043287612810830614,0.040202020202020204,5.078486119417344e-20
0.0004977023564332114,0.040202020202020204,7.424089662681255e-28
0.0005722367659350221,0.040202020202020204,3.2841703079045045e-38
0.0006579332246575682,0.040202020202020204,6.762302501999685e-52
0.000756463327554629,0.040202020202020204,5.451252953431844e-70
0.0008697490026177834,0.040202020202020204,6.513942664076213e-94
0.001,0.040202020202020204,1.5201708258793581e-125
0.0011497569953977356,0.040202020202020204,2.2607776221769288e-167
0.0013219411484660286,0.040202020202020204,1.1058547502584047e-222
0.0015199110829529332,0.040202020202020204,8.037349439342456e-296
0.001747528400007683,0.040202020202020204,0.0
0.002009233002565046,0.040202020202020204,0.0
0.002310129700083158,0.040202020202020204,0.0
0.0026560877829466894,0.040202020202020204,0.0
0.003053855508833419,0.040202020202020204,0.0
0.0035111917342151347,0.040202020202020204,0.0
0.004037017258596558,0.040202020202020204,0.0
0.004641588833612782,0.040202020202020204,0.0
0.005336699231206312,0.040202020202020204,0.0
0.006135907273413176,0.040202020202020204,0.0
0.007054802310718645,0.040202020202020204,0.0
0.008111308307896872,0.040202020202020204,0.0
0.0093260334688322,0.040202020202020204,0.0
0.010722672220103232,0.040202020202020204,0.0
0.012328467394420659,0.040202020202020204,0.0
0.014174741629268049,0.040202020202020204,0.0
0.016297508346206434,0.040202020202020204,0.0
0.01873817422860383,0.040202020202020204,0.0
0.021544346900318867,0.040202020202020204,0.0
0.024770763559917138,0.040202020202020204,0.0
0.028480358684358047,0.040202020202020204,0.0
0.032745491628777317,0.040202020202020204,0.0
0.037649358067924715,0.040202020202020204,0.0
0.043287612810830614,0.040202020202020204,0.0
0.049770235643321135,0.040202020202020204,0.0
0.0572236765935022,0.040202020202020204,0.0
0.06579332246575682,0.040202020202020204,0.0
